PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
16852,"Giannis Antetokounmpo",11100,PF/C,MIL,CLE,121982,739957,,34,30.8,11.58,4.94,0.32,3.43,0.82,0.88,35.74,42.38,47.32,1.7,16.52,17.79,10.79,1.36,13.25,8.27,19.15,11.11,53.78,53.78,55.53,5,18.26%,134,131,SUN,12485,108,16852,45.37,65.84,13.33,13.33,16.5,45.43,50.99,55.53,59.57,66.13,68.66,79.76,
35218,"Taurean Prince",4400,SG,MIL,CLE,121982,696209,,28,8.37,3.32,1.74,1.87,0.59,0.72,0.26,10.11,11.69,13.43,0.98,5.06,2.49,1.1,4.39,0.72,0.57,6.88,2.97,17.31,17.31,17.73,4.03,0.05%,134,131,SUN,28064,111,35218,11.77,25.01,0.25,0.25,2.69,11.65,15.01,17.73,20.45,25.11,27.18,36.24,
37886,"Kyle Kuzma",6400,SF/PF,MIL,CLE,121982,844476,,33,14.67,6.4,2.54,1.49,1.7,0.59,0.34,17.21,21.07,23.61,0.93,8.94,9.01,4.05,4.75,3,2.1,13.76,5.54,27.25,27.25,28.34,4.43,1.65%,134,131,SUN,38296,112,37886,20.87,36.98,1.34,1.34,4.5,20.68,25.02,28.34,31.91,37.02,39.06,48,
409320,"Gary Trent Jr.",4300,SG/SF,MIL,CLE,121982,1060908,,23,9.18,2.28,1.3,1.83,0.49,0.67,0.19,10.48,11.46,12.76,0.86,3.58,3.33,1.48,4.49,0.91,0.73,7.82,3.31,15.96,15.96,16.37,3.81,0.14%,134,131,SUN,70597,113,409320,10.2,23.41,0.17,0.17,1.95,9.98,13.3,16.37,18.93,23.28,25.32,32.74,
1115225,"Kevin Porter Jr.",3900,PG,MIL,CLE,121982,1135158,,16.5,8.01,2.3,2.21,0.5,1.39,0.83,0.16,10.22,10.31,12.52,0.99,4.51,5.74,2.68,1.95,1.69,1.16,7.69,3.18,15.67,15.67,15.74,4.04,0.27%,134,131,SUN,86566,114,1115225,10.32,22.03,0.14,0.14,1.81,10.32,13.42,15.74,18.32,22.19,23.74,31.48,
3005115,"Jericho Sims",3500,C,MIL,CLE,121982,1071933,,14,2.33,3.88,0.53,0,0.42,0.13,0.23,2.86,6.21,6.74,0.36,4.41,1.51,1,0,0.53,0.34,1.51,1,8.44,8.44,8.49,2.43,0.05%,134,131,SUN,71367,115,3005115,5.01,12.6,0,0,0,4.89,6.69,8.49,10.03,12.61,13.64,18.27,
3583672,"AJ Green",3700,SG,MIL,CLE,121982,1141111,,24,7.3,1.98,1.2,2.08,0.47,0.56,0.23,8.5,9.28,10.48,0.79,3.18,0.81,0.34,4.94,0.43,0.39,5.75,2.42,13.38,13.38,13.96,3.77,0.38%,134,131,SUN,89684,116,3583672,8.08,20.95,0.2,0.2,2.14,8.17,11.33,13.96,16.86,21.34,23.18,31.61,
1062,"Mike Conley",4300,PG,MIN,SAS,121983,329468,,23,7.52,2.39,3.88,1.56,0.71,0.9,0.28,11.4,9.91,13.79,1.18,6.27,0,,3.73,1.13,1.03,3.73,1.56,19.04,19.04,19.12,4.45,0.63%,146,144,SUN,12159,124,1062,12.86,26.12,0.48,0.48,5.04,13,16.32,19.12,21.92,26.51,28.07,36.2,
16935,"Rudy Gobert",6300,C,MIN,SAS,121983,739960,,30,12.86,10.11,1.8,0,1.19,0.61,1.29,14.66,22.97,24.77,1.9,11.91,0,,0,5.66,3.73,0,0,32.2,32.2,32.09,5.09,5.58%,146,144,SUN,12475,125,16935,24.44,39.74,5.9,5.9,10.93,24.19,28.88,32.09,35.3,39.99,41.96,50.36,
18632,"Julius Randle",7200,PF/C,MIN,SAS,121983,786412,,33,20.45,8.53,5.08,1.53,2.82,0.66,0.2,25.53,28.98,34.06,0.86,13.61,0,,4.87,6.9,5.55,4.87,1.53,38.07,38.07,40.39,5.61,21.03%,146,144,SUN,12553,127,18632,31.43,49.95,29.24,29.24,27.23,31.36,36.63,40.39,44.15,50.17,52.43,62.22,
408950,"Donte DiVincenzo",5600,PG/SG,MIN,SAS,121983,887915,,30,13.32,4.29,4.39,3.18,1.53,1.47,0.26,17.71,17.61,22,1.73,8.68,0,,8.01,1.36,1.06,8.01,3.18,28.71,28.71,29.58,5.28,8.61%,146,144,SUN,72401,128,408950,21.44,38.79,9.98,9.98,21.25,21.24,26.04,29.58,33.37,38.93,41.21,51.58,
1115445,"Nickeil Alexander-Walker",4100,SG/SF,MIN,SAS,121983,1067668,,23,8.57,2.75,2.08,1.77,0.74,0.78,0.56,10.65,11.32,13.4,1.34,4.83,0,,4.47,1.06,0.81,4.47,1.77,18.27,18.27,18.32,4.47,1.08%,146,144,SUN,69666,130,1115445,11.84,25.52,0.94,0.94,5.92,11.54,15.31,18.32,21.08,25.35,27.35,35.64,
1151038,"Naz Reid",7400,PF/C,MIN,SAS,121983,1137200,,26,14.9,6.39,2.09,2.47,1.09,0.49,0.76,16.99,21.29,23.38,1.25,8.48,0,,6.18,2.29,1.75,6.18,2.47,28.36,28.36,29.37,3.97,0.05%,146,144,SUN,72075,131,1151038,21.57,38.03,0.38,0.38,1.61,21.34,25.86,29.37,32.63,38.16,40.16,49.71,
2439478,"Anthony Edwards",9500,SG,MIN,SAS,121983,1175367,,37,27.45,7.33,5.1,3.35,2.8,0.81,0.42,32.55,34.78,39.88,1.23,12.43,0,,8.62,7.7,6.43,8.62,3.35,44.79,44.79,47.38,4.99,14.44%,146,144,SUN,89824,132,2439478,37.62,58.17,13.29,13.29,16.23,37.55,43.35,47.38,51.66,58.22,61.24,74.85,
2439585,"Jaden McDaniels",6800,SF/PF,MIN,SAS,121983,1177013,,35,15.96,7.04,2.82,1.88,1.26,1.4,0.65,18.78,23,25.82,2.05,9.86,0,,5.66,2.21,1.76,5.66,1.88,33.53,33.53,33.63,4.95,7.82%,146,144,SUN,90781,133,2439585,25.63,42.89,7.85,7.85,11.48,25.6,29.87,33.63,37.14,42.66,44.92,55.72,
4878487,"Jaylen Clark",3300,SF,MIN,SAS,121983,1231198,,2,0.88,0.25,0.25,0.11,0.12,0.06,0.01,1.13,1.13,1.38,0.07,0.5,0,,0.32,0.19,0.16,0.32,0.11,1.65,1.65,1.7,0.52,0.22%,146,144,SUN,149761,138,4878487,0,3.47,0,0,0,0,0,1.7,2.27,3.97,5.1,8.5,
6413059,"Terrence Shannon",3400,SG/SF,MIN,SAS,121983,1182148,,1,0.47,0.14,0.09,0.05,0.05,0.03,0.01,0.56,0.61,0.7,0.04,0.23,0,,0.15,0.11,0.09,0.15,0.05,0.84,0.84,0.86,0.25,0.22%,146,144,SUN,91771,140,6413059,0,1.72,0,0,0,0.37,0.61,0.86,1.11,1.47,1.57,1.64,
16845,"Kelly Olynyk",5700,PF/C,NOP,MEM,121980,514882,,25,12.12,7.05,4.56,1.09,2,0.63,0.37,16.68,19.17,23.73,1,11.61,5.77,2.98,2.68,3.55,2.88,8.45,4.07,28.42,28.42,29.55,5.18,10.17%,143,142,SUN,12462,143,16845,22.22,37.7,8.55,8.55,16.79,22.04,26.29,29.55,32.81,37.81,40.07,49.83,
408913,"Bruce Brown",4300,SF,NOP,MEM,121980,941834,,25,10.21,4.17,2.87,0.78,1.16,1.32,0.1,13.08,14.38,17.25,1.42,7.04,6.93,2.91,2.66,2.46,2.04,9.59,3.69,22.62,22.62,22.39,5.21,3.25%,143,142,SUN,75331,146,408913,15.99,29.22,4.02,4.02,12.5,15.99,19.44,22.39,25.1,29.28,31.25,38.63,
